review,star
재미도 없고 감동도 없고 시대만 역행하는 영화인것같네요개그 소재이면 안되는 것들이 너무 많이 희화화돼서 불쾌합니다  ,1
"하나도 안웃기고,비하하면서 희화하하는 것도불편하고 심각한내용해막장 삼류영화 불쌍했음너무 현실을 담아내서보는 내내 갑갑하고암걸릴거같았어요....코미디고평점좋아서기대했는데영화후 암걸린거같아요...영화평점은 처음남겨보내요여러분의시간은소중하  ",1
이런 영화는 별 한개도 아깝네요  ,1
관람객최근본 영화중 최고로 잼있어요~~  ,10
보는 내내 불편했던영화.. .결말까지 뻔한 뻔뻔한영화...일부의 비밀스런 이야기를 누구나의 일처럼 포장하려하는 과장된 못된영화 이탈리아영화  퍼펙트스트레인저스 원작을 리메이크하다보니 우리정서상 맞지않는 내용을 웃기려 각색하다보니 많이 오바스럽고 과함  ,1
보고나서 이거 보자해서 미안하다했어요....다음 영화는 신중하게 골라야지!  ,1
"관람객간만에 재밌고 생각많아지는영화나외엔 모두 다른사람,나로 묶으려하지않고 다른사람이라는 시선으로 이해해야겠다는 생각이드는 영화.한편 비밀이많은 영화속 주인공들을보며나도 내옆사람도 숨기는게있을지...ㅎㅎ  ",10
엥 관람객평점 왤케 높음...? 영화에서 환멸느끼고 평점으로 세상 환멸을 또 느끼네 평점은 왜 0점 줄 수 없는 건가요  ,1
기분 나쁘고 더러운영화 도대체 뭘 말하고싶으셨던건지 역겹다그리고 난19금도영화인줄알았다 보는내내역겨움뿐 내돈주고 봐서  땅치고 후회중이다.  ,1
영화 시작부터 기분 나빴음. 배우들의 연기력 덕분에 웃음 포인트가 몇 곳 있지만 전체적으로 억지스럽고 결말도 개거지 같았음. 내 인생 최악의 영화 베스트3에 뽑힘. 영화의 80%를 개정색하고 봄. 중간에 나오고 싶었는데 돈 아까워서 그냥 앉아있었다..  ,1
"여러분, 다들 노잼영화 노잼영화 하시죠. 이건 노잼을 넘어서 분노 유발 영화에요. 스트레스만 쌓입니다. 남자들이 문제다라는 인식을 바탕으로 만든 영화입니다.  ",1
노잼ㅋㅋ댓글 알바들 진짜 그러지좀맙시다 ㅋㅋ  ,2
본인이 재미있다고 모두가 재미있을거라고 생각하는 것 자체가 무식하다고 생각한다. 네 개그 코드에 맞다고 모든 사람이 다 그 개그 코드에 맞다고 생각 하는 건가?  ,1
ㄱㅐ쓰레기같은 영화; 돈 날리지마세요  ,1
"관람객인간적으로 너무너무너무 재미없음 돈주고 보기가 너무 아가움,, 보지마세요  ",1
알바쩌넼ㅋㅋㅋㅋ딱 수준낮은 아저씨들이나좋아할감성임 영화보자마자 아재가만들었겠네싶었음 그리고 답답하고 기분나쁜영화임 중간중간웃기기도한데 딱그뿐임..  ,1
영화 감상 후 찝찝함이 가장 크게 남았다  ,2
평점 보고 봤다가 완전 낚였다 최고로 살면서 처음으로 평점 준다 0 점  ,2
난 별로 재미없던데...ㅎ  ,4
눈치빠른사람은 보지마셈 스포당하고 본기분임 뻔할거같아서 안볼라다 걍기대안하고 보자했는데 이왕 뻔할거면 궁금한장면을 보여주지 정작 불필요한 안궁금한 장면만 잔뜩 보여줌 축구보는데 해설 더럽게 못하는느낌그냥 가볍게 볼정도지 이난리칠 영화는아닌거같은데;  ,2
집중력 굿. 연기력 굿!!!!  ,10
ㅎㄴ감성의 범벅 ㅗㅇㅇㅗ  ,1
인셉션이 생각났다 ㅋㅋ  ,10
불쾌함이란 덩어리를 웃음이라는 포장지로 덮은 영화  ,4
분명히 웃기고 개그적인요소들이있으나 다루는내용이불편하고 마냥웃기지많은않음 그리고 결론적으로 영화에서 무슨메세지를전하는건지모르겠음 커플들여럿싸울듯 그리고 안드로이드폰 아이폰비교할때라던지 빅스비라던지 저게 여기서왜나오지?싶은내용이있었음  ,1
뻔한 이야기 뻔한 전개....  ,2
최악이다 쓰레기영화 보는사람 믿고 거른다  ,1
알바들 왜케 풀었냐 ! 정말  ,1
저는 이 영화의 평점이 왜 9점대인지 모르겠습니다. 사람을 의심하게 만드는 느낌을 주네요. 등장인물이 거의 다 불륜처럼 드러나있고 하물며 의사소통하는 이성관계는 전부 불륜처럼 느끼도록 그려놓았네요. 과연 이 영화의 시선이 올바른 것인지 모르겠습니다.  ,1
재밌는 포인트를 잘 모르겠어요ㅠ  ,1
기대안하고봤는데 잼있네요연기잘하시는분들이라 한편의 연극같아요  ,10
"웃음이라는 감정을 미끼로1. 동성애 감성팔이 2. 남자는 다 문제, 여자는 한명빼곤 문제없다는 페미니즘적 사고 3. 정상적인 연인 또는 부부의 믿음에 불신 조장 4. 불륜과 비밀스러운 동기부여를 통한 결혼에 대한 불신 등을교묘하게 감추어 만든 영화  ",1
평점이 왜이리 높은걸까... 배우들의 연기력으로 그나마 살린 영화인듯.. 불편한장면 뿐아니라 스토리 별로 그닥.. 비추  ,4
시사회로 봤는데 진짜 재미있습니다.ㅋㅋㅋ배우들 케미가 좋아요ㅋㅋㅋ  ,10
오늘 개봉인데 아침부터 댓글쓰는 사람들은 뭐죠  ,6
이 영화보면 혼자 살고 싶어짐 ^^  ,1
"관람객동성애를 웃음코드로,  수술한 환자들에 대한 성적 조롱 , 저학력자나 이혼한 사람에 대한 무시..  뭐가 웃기고 재밌는건지 모를 대환장파티  ",1
말이 필요없다. 꼭봐라.  ,10
중간중간에 불편했어요  ,1
여자로써는 보는 내내 불편했던 영화  ,2
이렇게 한심한 영화는 첨이다ㅉㅉ  ,2
별 한개도 아까움 불쾌한 영화 절대 보지 마세요  ,1
진짜재미없음 기대하면안됨  ,2
빵빵 터지는 대사와 의외의 캐스팅 모두완벽!!  ,10
이거 손인분기점 이미 달성했을 듯... 제작비 1억 들었을 듯 ㅋ 3일 촬영에 ㅋㅋ  ,2
별점주기도아까운영화인데요? 댓글알바인가 뭔내용인지모르겠고 갑분싸입니다 진짜 추천안해요 돈아까운거 그렇다치고 너무 허무하고 이제기억도안납니다  ,1
관람객진심 인생영화였음! 실컷 웃다가 막판 소름도 끼치고 이런 한국 영화는 처음ㅋㅋㅋㅋ  배우들도 다 대박이라 누구 한 명만  꼽아서 말할수가 없음ㅋㅋㅋ 그냥 꼭 보시길!  ,10
재미하나도 없던데 내가 이상한건가?  ,1
대사 너무 빻았어요...  ,1
영화 보는 내내 기분 나빠요  ,2
나만 그렇게생각해..?  ,1
보는내내 불쾌하다 사랑과전쟁2 보는느낌  ,1
시시하고 뻔함..지루함..뭘얘기하고 싶은질 모르겠음...그와중에 흐뭇한 결말은 어이긴 없을지경.그나마 박민수씨가 조금 살려줌  ,5
집에서 딱 무료로 받아서 보면 대요  ,1
시대 흐름 존나 못읽죠~  ,1
이게 뭐가 신선한다는거지?불륜소재..유치함 이런 영화가 월메이드?보헤미안 랩소디를 한번 더 보겠응  ,1
재밋다며?ㅡㅡ 장난하나  ,1
와 평점리뷰 보통 안 쓰는데 이영화 진짜 최악1점도 아까움  ,1
4-50대 아재들이나 좋아할듯  ,1
저질영화예요 재미있다는 평점과 배우님들때문에 믿고봣는데 재밋는 부분은 두군데 정도있고 감동도 교훈도 그렇다고 엄청 코믹하지도않고 진짜 별로내요 ㅋㅋㅋㅋ  ,1
ㅅㅂ 개ㅈ같네 이런거인줄 모르고 가족이랑 보러왔는데 존나 뻘줌하네 이런건줄 알았으면 안보는건데  ,1
돈주고 여혐과 동성애 혐오봄 ㅅㅂ  ,1
기대를너무많이했나아쉽다  ,4
신선했지만 보는내내 불편한 영화  ,4
스토리가 빻음. 이게 웃음으로 넘길 일인가.. 저질스러움  ,1
올 해 영화중에 가장 재미있는 작품인듯 합니다.역시 믿고보는 배세영 작가님의 작품  ,10
관람객약스포지만 보고 나온 순간 부터  폰 울리면 실실 웃고잇는 나를 발견함  ,10
관람객웃음포인트보다 정색하고 본 부분이 많았네요  ,1
이게 재밌음 ? 비현실적이고 오글거리고.. ㅆ노잼..줄거리 진심 말이 되냐 ㅋㅋㅋ  ,1
영화보고 화나고 너도 저럴거냐고 하게되고 저녁에 남친 바람피는 꿈 꾸고 계속 우울해짐 평점에 재밌다고 해서 갔지만 바람이나 남친에게 상처받았던 사람이 보면 안되는 영화인듯  ,1
내가 뭘 본건가...평이 너무 좋은 게 이해가 안되네요여지껏 본 영화중에 제일 정색하고 봤습니다연기 잘하시는 배우들이라 믿고 봤는데 와..  ,1
별점 1도 아깝네요. 보다 중간에 나왔습니다. 댓글 알바 적당히 좀 하시길. 혐오 끝판왕 영화였습니다! 평점 조작 오짐  ,1
모든 사람을 싸잡아서 비밀행동이 있다고 말하는건 좀 아닌듯  ,1
제발 무언가 찔리는게 있으신 남성 여성 커플분들 이영화 절대로 보지 마세요 진짜 큰일납니다  ,10
제목만 완벽이고 영화는...글쎄  ,1
어떤 맥락에서 웃어야 할지 모르겠다. 혐오를 개그로  가장시킨  보기 불편하고 찝찝한 영화..  ,1
"어,,재미있었다,,참으로,,  ",1
후반에 살짝 아쉬운전개 ㅜㅜ  ,5
내가 본 영화 중 완벽한 실패인 영화  ,1
스토리나 구성이 전혀 공감되지 많는 막장 영화네요 ㅉㅉㅉ  ,1
"관람객 나는 그 누구도 잘 알지 못했다. 나는 완벽한 타인 속에 살아가고 있음을, 나 또한 모두에게 완벽한 타인임을 깨닫게 된다.  극의 상황이 과장되었다고 생각하는가? 이 영화를 보고도? 우리는 주변의 그 누가 이런 비밀을 숨기고 있는지 알 수 없다.  ",10
동성애자 혐오 여성 혐오 발언이 가득한데 그게 웃음으로 소비된다는 게 화나고 속상하네요  ,1
오랜만에 실컷웃은 영화입니다  ,10
소재자체는 신선했지만 (이탈리아 원작?) 메시지를 전달하기까지의 과정이 저급한.  ,1
관람객불편한 진실을 감추는 씁쓸하고 찝찝한 영화  ,2
평점알바 대박.. 알바도 작작해..  ,2
"양념,조미료 완전 많이 넣었는데 없는척 하는 영화.  ",2
어느타이밍이 재밋어지는지 기다리다 끝낫다!  ,2
영화관에서 이렇게 다같이 웃은적 첨  ,10
관람객이 영화 미쳤다!!!! 별생각없이 시사회보구 빵터져 주말에 유료시사까지 또봤네요.재밌는 영화도 두번보는 편은 아닌데.... 이거 이거 사람 홀리게 재미나네요^^  ,10
등장인물은 믿을 수 없는 상황에 울고 있는데 관객은 웃게 만드는 기괴한 영화. 웃으면서도 부끄러웠음.  ,4
별하나도 아까움/ 알바 쓰나 왜 평점이 좋지.ㅋㅋㅋㅋ 이해 1도 안됨 남의 가정사 파탄나는걸 내가 왜 보고있나. 결국은 다 허상이였다는 어이없는결론 시간낭비  ,1
관람객왜 네이버 댓글평만 이리 좋은지 모르겠네요개인적으로 불편했습니다  ,2
제가 원래 후기 게시글 작성 잘 안하는데 이건 너무 해도해도 너무해서 남깁니다. 진짜 OO노잼입니다.  ,1
웃을려고 갔다가 더 우울해지는. 이 영화 왜 봤는지 정말 이해가 안가는. 스토리도 구성도 진짜 없는 그지같은 영화. 보는 내내 나갈까 말까 계속 고민했습니다.  ,1
밑에댓글다알바.. 남는거없음 중간중간 웃긴 포인트가끝 누구 의심할수잇는영화  ,2
서로를 너무 잘 안다고 생각해도 사실 우리는 서로에게 완벽한 타인. 신선하고 씁쓸했다.  ,8
알바에 점령당했네ㄷㄷㄷ  ,6
뭐가 재미있다는 건지?평점에  속아 본 기분..  ,2
블랙코미디가 아니라 그냥 블랙에 가까워요. 혐오가 가득 담긴 영화  ,1
그냥 미친 쓰레기 영화임  ,1
여혐 좀 있어요. 별루임  ,1
다 좋은데 이태리 영화 리메이크 한거 숨기고 제발 한국 영화인척 하지마라 프랑스등 6개국에서 리메이크 하고 연극으로도 만들어질 만큼 원작이 탄탄한 덕을 본 영화를 와 창작 영화인척 하는거야??  ,2
예상 가는 이야기였고 보고나서 찝찝하다.  ,4
개찝찝하게끝남 뭐가재밌지 불쾌하다  ,1
오늘 보헤미안과 완벽한 타인 둘 전부 봤다.이게 1위라는게 그저 창피할따름이다.집에서 다운받아 보시길  ,6
별 반개도 아깝다 10점 알바아님?  ,1
ㅁㅊ 연인이랑 보면 진짜 의심 존나해 이거 보지마셈  ,2
관람객재밌엇어요 기대를 너무많이 햇나봐요  ,2
평점이 왜 이렇게 높은 걸까... 도저히 웃을 수 없는 장면에서 웃는 사람들을 보며 씁쓸한 기분이 들었다.  ,1
초반 지루하고 등장인물 많아 관계파악까지 한참 걸립니다. 마지막은 어이가 없네요.  ,1
창궐 피하려다...똥밟았다 2시간동안 말장난 가정파탄 말싸움뿐 교훈도없고 재미도없고 감동도없다.돈주고 보지말고 짤로보세요 시간아깝네요  ,1
관람객유해진 배우 연기가 리얼해서 웃기기는 했지만 기분좋은 웃음이 아니고 캐릭터 들의 불륜에 거짓말에 겉과속이 다른 위선들을 덮어버리는 설정이 재미있게 보이지도 않고 감동따위는 1도없다.  ,2
진심 평점에 속지마라. 웃음 포인트는 분명 있다. 하지만 영화가 주는 메시지가 없을 뿐더러 있다고 해도 저질이다. 특히 결말은 욕이 나올 정도로 성의가 없었다.  ,2
어디서부터 지적해야할지도 모를정도 쓰레기 영화  ,2
뭐 다른 사람연기 잘한줄은 알았지만 이서진 4가지 없는 연기는 원래 잘했나?ㅎㅎㅎ  ,10
"진심 웃질않는 편이긴 하지만... 유해진, 말고는 웃기지도않고 재미도없고 스토리도 막장이고... 1점은 불쌍하지만 현재 평점이 너무 심각해서 1점준다  ",1
내용이 수준이하 저질임. 수준에 맞는 사람들 몇은 간혹 웃더라 . 보렙이나 스타이즈본에 비하면 개막장.  갈수록 퇴보하는 한국영화  ,1
쓰레기 영화 ㅎㅎ 보면 기분 더러워짐 여혐 범벅  ,1
"인생 최악의 영화입니다.개연성, 논리성 다 떨어지고 중간에 몇번이나 나오고 싶었지만 돈아까워서 있었는데 시간낭비 했네요. 더러운 소재로 웃기고 야하고 막장인 영화입니다. 57세 키티 다들 웃겨하시는데 그게 엄연한 바람피는거라는거 잊지 마세요.  ",1
"너무 별로였음. 진지하고 신중하게 다가가야하는 동성애,불륜,그리고 이혼이나 그런요소들.. 희극적이게 만들려는 요소는 좋았으나 별로 유쾌하지 않고 불쾌했던 부분이 더 많았다. 추천하지 않는다.  ",1
이서진의 연기변신이 자기옷을 입은듯ㅋ조진웅은 뭔가 짠한 영화.  ,9
오랜만에 괜찮은 영화 ㅎㅎ  ,10
영화관에서 오랜만에 크게 웃고갑니다.강추네요~^^  ,10
그닥..넘 기대했네ㅋㅋㅋㅋ  ,2
별로 불편하게 했던영화  ,1
비밀스러운 삶은 덮는게 낫다? 하고 싶은 이야기가 뭔지?  ,2
노잼이예요 입소문났다는거 보고 봤는데 이런낭패가..  ,2
나참 이게 웃긴가?억지스런 상황 설정과 시나리오..더구나 수습도 못하고 허무한 결말까지..관람 후 나오는 순간에나도 반지를 돌려서 이 망작 안고르고그냥 드라마나 볼껄 하는 마음이 간절하던데..  ,2
시대 흐름 못 읽은 쌍팔년도 감성을 떠나 너무 재미가 없어서 시간 아까운 영화. 염정화 배우님 연기 하나 건져서 1점  ,1
이건 절대 코미디 영화가 아님. 인간의 민낯을 보여주는 현실다큐  ,8
여혐에 동성애 조롱하는 느낌에비혼다짐하게 하는 영화 그나마 조진웅이 딸한테 하는 말이랑 마지막에게이친구의 대사만이 와닿음. 니네눈빛에 상처받을거라고.캐릭터들이 다채롭게 별로...^^40년지기 친구라하는데 얄팍하고도 추잡스러운 우정 잘봤습니다..  ,1
보다가 나왔음ㅋㅋ웃으려고 노력을해도 인상만 찌푸려짐  ,1
"처녀 강조, 가슴부터 시작해서 서로 품평질에 불륜은 당연한 것이라 말하는 비혼 조장 영화. 성별에 따라 영화 후기가 아주 극과 극이네요. 이게 현실인가봅니다  ",1
관객이 불편해지고 눈치보게되는 ㅋㅋㅋ 완전 재밌어요ㅋㅋㅋ  ,10
"유해진님 덕분에 웃고,염정아님 덕분에 울고.재밌고 결말 찝찝 영화 굳이 추천하진 않습니다  ",5
이서진이랑조진웅아내 죽이고싶었음  ,1
보다가 나왔다 뭐가 이리도 복잡하고 숨기고 감추고 그러는지 너무 씁쓸한 현실에 썩소만 남기다 나온다  ,1
평점이왜높은줄모르겠는데..너무평이좋아서 진심깜짝놀랐네요  ,2
딱 킬타임용. 웃긴장면 몇개있긴했지만 중간중간 끼워넣은 교훈주려는 듯한 대화들 넘 식상  영화흐름이 뚝뚝 끊기는 느낌  그냥 끝까지 막장소동극이었음 더 니았을거같아 아쉬움  ,7
영화티켓 살 돈으로 스타벅스 커피 3번 사먹으세요  ,1
관람객대사만으로도 빵빵 터지는 영화. 보고나면 인간관계의 쓸쓸함이 길게 남는 좋은영화  ,9
잘만든영화입니다! ㅋㅋ응원해용  ,10
관람객간만에 웃었네요 ~ 배우들의 연기에도 박수 ! 재미있어요 ㅋㅋ  ,10
"관람객극장에서 이렇게 모든 관객들이 계속 빵터지는 경험은 처음이네용 ㅋㅋㅋㅋ 진짜 유해진 애드립은 문화재로 지정해야됨, 재미도 재미지만 꼭 끼고사는 핸드폰 이야기인지라 공감도 되고 최근 본 한국영화중에 최고에요!  ",10
특이한 구성 한정된 공간안에서 이정도 재미와 집중을 만들어낸것이 대단하네요. 게다가 중간중간 유머코드도 좋았고 마치 내가 그 식탁 한자리에 같이 있는것처럼 느껴질정도로 집중이 되었고 즐거웠어요 모처럼 잘만든 영화 봣네요  ,10
웨케 평점높음?ㅇ? 이유가뭐지  ,3
걍 시간날때 보면될듯 꼭 이 영화를 볼려고 극장찾아갈 필요는 없는듯  ,6
관람객사람은 누구나 세 개의 삶을 산다.가장 은밀한 삶이야말로 판도라의 상자였다.  ,10
뭔가 찝찝한게 그닥 기분이 좋지는 않아요  ,1
재밌다고해서 봤는데. 진짜 찝찝한영화네요. 불륜천국  ,2
